Activity_Code,Primary_Activity,Sub_Activity,Sub_Activity_Code,Indicators,Additional options,Indicator_Code,Unit,Indicator Purpose
ACT_1,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Population movement monitoring activities,ACT_1_1,Population flow counting points are active during high population movement periods,,SMC_IND_009,# of days,SMC Coordination
ACT_1,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Protection mainstreaming,ACT_1_2,Sites with protection referral pathway in place,,SMC_IND_010,# of sites,SMC Coordination
ACT_1,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Protection mainstreaming,ACT_1_2,Sites with safety audits conducted,,SMC_IND_011,# of sites,SMC Coordination
ACT_1,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Service coordination supported and improved,ACT_1_3,Number of service/infrastructure mapping reports generated,,SMC_IND_013,# of reports,SMC Coordination
ACT_1,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Service coordination supported and improved,ACT_1_3,Number of site-level coordination meetings,,SMC_IND_014,# of meetings,SMC Coordination
ACT_1,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Service coordination supported and improved,ACT_1_3,People in sites managed or supported by trained Site Management teams,,SMC_IND_015,# of individuals,Flash Appeal 2026
ACT_2,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Establishment or support provided to community representation structures,ACT_2_1,People in displacement sites with community representation structures supported by Site Management Agencies,,SMC_IND_001,# of individuals,Flash Appeal 2026
ACT_2,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Facilitation of Community Led Projects,ACT_2_2,Community-led projects implemented,,SMC_IND_002,# of CLPs,SMC Coordination
ACT_2,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Information sharing and feedback mechanisms in place,ACT_2_3,IEC awareness raising products disseminated,,SMC_IND_003,# of products,SMC Coordination
ACT_2,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Information sharing and feedback mechanisms in place,ACT_2_3,Participants in Community Feedback Mechanism information sessions,,SMC_IND_004,# of participants,SMC Coordination
ACT_2,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Information sharing and feedback mechanisms in place,ACT_2_3,People in sites reached by IEC and awareness raising materials,,SMC_IND_005,# of people,SMC Coordination
ACT_2,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Information sharing and feedback mechanisms in place,ACT_2_3,"Sites with Community Feedback Mechanisms in place: Information sessions facilitated, or information materials made available to residents.",,SMC_IND_006,# of sites,SMC Coordination
ACT_2,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Training provided to community representation structures,ACT_2_4,Number of individuals who have recieved training in community representation structures,,SMC_IND_024,# of participants,SMC Coordination
ACT_2,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Training provided to community representation structures,ACT_2_4,Trainings provided to community representation structures,,SMC_IND_025,# of trainings,SMC Coordination
ACT_3,"Capacity-strengthening for SMA staff and voluntunteers, CBOs, other sectoral agencies and stakeholders","Training provided to SMA, CBO, and other stakeholders",ACT_3_1,"Individuals received training in Site Management, including SMA and CBO staff and volunteers, and other stakeholders.",,SMC_IND_026,# of individuals,Flash Appeal 2026
ACT_4,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements",ACT_4_1,"Communal spaces established or improved in sites (including safe spaces, child-friendly spaces, committee spaces, community resource spaces)","Safe spaces, Child-friendly spaces, Committee spaces, Community resource spaces, Other (describe)",SMC_IND_016,# of spaces,SMC Coordination
ACT_4,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements",ACT_4_1,Number of individuals trained / supported to conduct site care and maintenance,"Fire, Flood, Extreme Heat, Infestation, Landslide, Sanitation, Waster, Other (Describe), Not Applicable",SMC_IND_017,# of individuals,SMC Coordination
ACT_4,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements",ACT_4_1,Number of sand/flour bags distributed ,"Fire, Flood, Extreme Heat, Infestation, Landslide, Sanitation, Waster, Other (Describe), Not Applicable",SMC_IND_018,# of bags,SMC Coordination
ACT_4,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements",ACT_4_1,"Number of tools distributed for site improvement (count individual tools, not toolkits)",,SMC_IND_019,# of tools,SMC Coordination
ACT_4,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements",ACT_4_1,"People in displacement sites with improvements made in site planning, facilities and/or infrastructure including (construction/repair/cleaning drainage, slope stabilisation, etc.) either directly or through community led projects","Fire, Flood, Extreme Heat, Infestation, Landslide, Sanitation, Waster, Other (Describe), Not Applicable",SMC_IND_020,# of individuals,Flash Appeal 2026
ACT_4,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements",ACT_4_1,People in sites hired via Cash for Work for site maintenance/improvement,"Fire, Flood, Extreme Heat, Infestation, Landslide, Sanitation, Waster, Other (Describe), Not Applicable",SMC_IND_021,# of individuals,SMC Coordination
ACT_5,"Support to populations to transition out of sites including support to populations out of sites, community engagement, support for relocation and safe site closures.",Plan and implement site closure and exit strategies,ACT_5_1,Sites safely closed or decommissioned with land returned to orginal use,,SMC_IND_007,# of sites,SMC Coordination
ACT_5,"Support to populations to transition out of sites including support to populations out of sites, community engagement, support for relocation and safe site closures.",Support safe transition of site based populations,ACT_5_2,"Individuals supported by Site Management projects facilitating transition through access to services. Including area based site management, hubs, and community resource centres.",,SMC_IND_022,# of individuals ,Flash Appeal 2026
ACT_5,"Support to populations to transition out of sites including support to populations out of sites, community engagement, support for relocation and safe site closures.",Support safe transition of site based populations,ACT_5_2,"Site Management projects facilitating transition through access to services. Including area based site management, hubs, and community resource centres.",,SMC_IND_023,# of projects,Flash Appeal 2027
ACT_5,"Support to populations to transition out of sites including support to populations out of sites, community engagement, support for relocation and safe site closures.",Undertake intentions and perceptions surveys,ACT_5_3,Intentions or perceptions surveys conducted,,SMC_IND_027,# of assessments,SMC Coordination